code_anon,timestamp
1,2023-03-04 13:08:25.830
115,2023-03-04 13:10:27.472
134,2023-03-04 13:10:27.805
181,2023-03-04 13:10:28.323
183,2023-03-04 13:10:28.560
179,2023-03-04 13:10:28.501
30,2023-03-04 13:10:28.723
148,2023-03-04 13:10:28.766
66,2023-03-04 13:10:29.133
44,2023-03-04 13:10:28.918
72,2023-03-04 13:10:29.169
21,2023-03-04 13:10:29.258
32,2023-03-04 13:10:29.024
12,2023-03-04 13:10:29.035
149,2023-03-04 13:10:29.306
132,2023-03-04 13:10:29.188
100,2023-03-04 13:10:29.368
87,2023-03-04 13:10:29.636
98,2023-03-04 13:10:29.771
121,2023-03-04 13:10:29.819
50,2023-03-04 13:10:29.637
47,2023-03-04 13:10:29.725
33,2023-03-04 13:10:29.930
124,2023-03-04 13:10:30.004
157,2023-03-04 13:10:30.025
22,2023-03-04 13:10:30.056
85,2023-03-04 13:10:30.159
5,2023-03-04 13:10:29.971
154,2023-03-04 13:10:30.204
93,2023-03-04 13:10:30.303
42,2023-03-04 13:10:30.195
174,2023-03-04 13:10:30.410
113,2023-03-04 13:10:30.495
137,2023-03-04 13:10:30.245
4,2023-03-04 13:10:30.588
125,2023-03-04 13:10:30.746
145,2023-03-04 13:10:30.764
187,2023-03-04 13:10:30.522
58,2023-03-04 13:10:30.783
16,2023-03-04 13:10:30.805
139,2023-03-04 13:10:30.966
135,2023-03-04 13:10:30.990
54,2023-03-04 13:10:31.044
28,2023-03-04 13:10:31.096
73,2023-03-04 13:10:32.686
71,2023-03-04 13:10:32.950
165,2023-03-04 13:10:33.158
59,2023-03-04 13:10:33.390
11,2023-03-04 13:10:33.402
156,2023-03-04 13:10:33.295
144,2023-03-04 13:10:33.496
31,2023-03-04 13:10:33.843
41,2023-03-04 13:10:33.622
63,2023-03-04 13:10:33.906
107,2023-03-04 13:10:33.775
160,2023-03-04 13:10:34.102
10,2023-03-04 13:10:36.030
103,2023-03-04 13:10:36.319
0,2023-03-04 13:10:36.735
43,2023-03-04 13:10:36.565
173,2023-03-04 13:10:37.221
89,2023-03-04 13:10:37.754
57,2023-03-04 13:10:37.803
99,2023-03-04 13:10:37.801
56,2023-03-04 13:10:38.113
26,2023-03-04 13:10:38.473
126,2023-03-04 13:10:38.706
153,2023-03-04 13:10:39.037
117,2023-03-04 13:10:39.011
6,2023-03-04 13:10:39.407
133,2023-03-04 13:10:39.214
64,2023-03-04 13:10:39.599
23,2023-03-04 13:10:39.803
46,2023-03-04 13:10:40.007
18,2023-03-04 13:10:40.140
184,2023-03-04 13:10:40.551
116,2023-03-04 13:10:40.500
8,2023-03-04 13:10:40.812
92,2023-03-04 13:10:40.964
104,2023-03-04 13:10:40.834
75,2023-03-04 13:10:40.910
40,2023-03-04 13:10:41.104
110,2023-03-04 13:10:42.972
79,2023-03-04 13:10:43.585
70,2023-03-04 13:10:43.651
123,2023-03-04 13:10:43.757
3,2023-03-04 13:10:43.774
101,2023-03-04 13:10:43.851
127,2023-03-04 13:10:44.017
130,2023-03-04 13:10:44.051
119,2023-03-04 13:10:44.274
76,2023-03-04 13:10:44.521
45,2023-03-04 13:10:45.303
19,2023-03-04 13:10:46.061
14,2023-03-04 13:10:46.886
118,2023-03-04 13:10:47.025
178,2023-03-04 13:10:48.738
176,2023-03-04 13:10:50.007
175,2023-03-04 13:10:51.771
51,2023-03-04 13:10:51.915
172,2023-03-04 13:10:52.675
129,2023-03-04 13:10:54.443
24,2023-03-04 13:10:56.225
61,2023-03-04 13:11:04.906
102,2023-03-04 13:11:08.064
166,2023-03-04 13:11:14.790
108,2023-03-04 13:11:32.458
74,2023-03-04 13:11:54.012
